Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,100uF,
"C2, C3",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,10uF,
C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,100uF,
D1,SS34,1,SS34,
J1,XH2-H,1,LEDs,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Power,
J3,XH4-V,1,DEBUG,
L1,RH127,1,68uh,
"R1, R2, R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,1,
R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,1k,
SW1,ButtonSMD,1,Reset,
SW2,ButtonSMD,1,Boot,
U1,SOT-223,1,LM1117-3.3,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,SOT-89-5_Handsoldering,1,PT4115,
